Sample_ID,Experiment_Path,Surface_Roughness_Ra,Depth_of_Cut_ap,Feed_Rate_f,Cutting_Speed_vc,Material,Tool
K0025,K0025/Scope_2025_05_08_13_52_02,1.203,0.5,0.125,125.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_05_08_13_56_07,1.545,0.5,0.175,125.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_05_08_13_59_14,2.389,0.5,0.225,125.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_05_08_14_03_02,3.339,0.5,0.275,125.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_05_08_14_06_26,0.888,0.5,0.125,175.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_05_08_14_09_49,1.553,0.5,0.175,175.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_05_08_14_13_02,2.172,0.5,0.225,175.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_05_08_14_16_07,3.281,0.5,0.275,175.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_05_08_14_19_28,0.673,0.5,0.125,225.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_05_08_14_22_21,1.349,0.5,0.175,225.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_05_08_14_25_20,2.123,0.5,0.225,225.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_05_08_14_28_08,3.228,0.5,0.275,225.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_05_08_14_31_53,0.667,0.5,0.125,275.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_05_08_14_34_44,1.299,0.5,0.175,275.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_05_08_14_39_04,2.142,0.5,0.225,275.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_05_08_14_41_56,3.284,0.5,0.275,275.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_17_06_21,0.578,1.0,0.1,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_17_09_17,1.049,1.0,0.15,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_17_12_04,1.831,1.0,0.2,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_17_15_15,2.724,1.0,0.25,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_17_17_48,3.908,1.0,0.3,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_17_21_17,0.457,1.0,0.1,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_17_24_05,1.051,1.0,0.15,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_17_26_39,1.817,1.0,0.2,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_17_29_09,2.759,1.0,0.25,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_17_32_16,3.875,1.0,0.3,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_17_44_59,0.443,1.0,0.1,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_17_47_48,1.0,1.0,0.15,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_17_50_14,1.798,1.0,0.2,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_17_52_44,2.719,1.0,0.25,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_17_55_14,3.872,1.0,0.3,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_17_58_10,1.398,0.75,0.1,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_18_00_54,1.093,0.75,0.15,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_18_03_36,1.731,0.75,0.2,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_18_06_17,2.664,0.75,0.25,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_25_18_08_53,3.854,0.75,0.3,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_26_09_21_09,0.403,0.75,0.1,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_26_09_23_42,0.961,0.75,0.15,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_26_09_26_25,1.744,0.75,0.2,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_26_09_28_54,2.649,0.75,0.25,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_26_09_31_17,3.793,0.75,0.3,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_26_09_33_51,0.406,0.75,0.1,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_26_09_38_10,0.966,0.75,0.15,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_06_26_09_41_18,1.751,0.75,0.2,300.0,20MnCr5,DNMG150608
