sample_id,object_path,attribute,value
K0025,K0025,Batch Number,10.06.2024
K0025,K0025,Description,Longitudinal turning on NTX 1000
K0025,K0025,HV,175.0
K0025,K0025,SampleMaterial,20MnCr5
K0025,K0025,Tool,DNMG150608
K0025,K0025,Unique Sample Id,K0025
K0025,K0025/Scope_2025_05_08_13_52_02,Measurement_ID,2232
K0025,K0025/Scope_2025_05_08_13_52_02,Ra,1.203
K0025,K0025/Scope_2025_05_08_13_52_02,Rz,8.199
K0025,K0025/Scope_2025_05_08_13_52_02,T_error,0.047
K0025,K0025/Scope_2025_05_08_13_52_02,T_length,150.665
K0025,K0025/Scope_2025_05_08_13_52_02,ap,0.5
K0025,K0025/Scope_2025_05_08_13_52_02,d0,38.906
K0025,K0025/Scope_2025_05_08_13_52_02,d0_nominal,39
K0025,K0025/Scope_2025_05_08_13_52_02,d1,37.905
K0025,K0025/Scope_2025_05_08_13_52_02,d1_nominal,38.0
K0025,K0025/Scope_2025_05_08_13_52_02,d_error,-1.0
K0025,K0025/Scope_2025_05_08_13_52_02,f,0.125
K0025,K0025/Scope_2025_05_08_13_52_02,num_segments,1
K0025,K0025/Scope_2025_05_08_13_52_02,re,0.8
K0025,K0025/Scope_2025_05_08_13_52_02,vc,125.0
K0025,K0025/Scope_2025_05_08_13_52_02/FX,sampling_rate,1000.0
K0025,K0025/Scope_2025_05_08_13_52_02/FX,segment_start,3.97
K0025,K0025/Scope_2025_05_08_13_52_02/FX,segment_stop,6.268
K0025,K0025/Scope_2025_05_08_13_52_02/FX,signal_source,numerical_control
K0025,K0025/Scope_2025_05_08_13_52_02/FY,sampling_rate,1000.0
K0025,K0025/Scope_2025_05_08_13_52_02/FY,segment_start,3.97
K0025,K0025/Scope_2025_05_08_13_52_02/FY,segment_stop,6.268
K0025,K0025/Scope_2025_05_08_13_52_02/FY,signal_source,numerical_control
K0025,K0025/Scope_2025_05_08_13_52_02/FZ,sampling_rate,1000.0
K0025,K0025/Scope_2025_05_08_13_52_02/FZ,segment_start,3.97
K0025,K0025/Scope_2025_05_08_13_52_02/FZ,segment_stop,6.268
K0025,K0025/Scope_2025_05_08_13_52_02/FZ,signal_source,numerical_control
K0025,K0025/Scope_2025_05_08_13_52_02/I4,sampling_rate,1000.0
K0025,K0025/Scope_2025_05_08_13_52_02/I4,segment_start,3.97
K0025,K0025/Scope_2025_05_08_13_52_02/I4,segment_stop,6.268
K0025,K0025/Scope_2025_05_08_13_52_02/I4,signal_source,numerical_control
K0025,K0025/Scope_2025_05_08_13_52_02/IX,sampling_rate,1000.0
K0025,K0025/Scope_2025_05_08_13_52_02/IX,segment_start,3.97
K0025,K0025/Scope_2025_05_08_13_52_02/IX,segment_stop,6.268
K0025,K0025/Scope_2025_05_08_13_52_02/IX,signal_source,numerical_control
K0025,K0025/Scope_2025_05_08_13_52_02/IZ,sampling_rate,1000.0
K0025,K0025/Scope_2025_05_08_13_52_02/IZ,segment_start,3.97
K0025,K0025/Scope_2025_05_08_13_52_02/IZ,segment_stop,6.268
K0025,K0025/Scope_2025_05_08_13_52_02/IZ,signal_source,numerical_control
K0025,K0025/Scope_2025_05_08_13_52_02/M4,sampling_rate,1000.0
K0025,K0025/Scope_2025_05_08_13_52_02/M4,segment_start,3.97
K0025,K0025/Scope_2025_05_08_13_52_02/M4,segment_stop,6.268
K0025,K0025/Scope_2025_05_08_13_52_02/M4,signal_source,numerical_control
K0025,K0025/Scope_2025_05_08_13_52_02/MX,sampling_rate,1000.0
K0025,K0025/Scope_2025_05_08_13_52_02/MX,segment_start,3.97
K0025,K0025/Scope_2025_05_08_13_52_02/MX,segment_stop,6.268
K0025,K0025/Scope_2025_05_08_13_52_02/MX,signal_source,numerical_control
K0025,K0025/Scope_2025_05_08_13_52_02/PosX,sampling_rate,1000.0
K0025,K0025/Scope_2025_05_08_13_52_02/PosX,segment_start,3.97
K0025,K0025/Scope_2025_05_08_13_52_02/PosX,segment_stop,6.268
K0025,K0025/Scope_2025_05_08_13_52_02/PosX,signal_source,numerical_control
K0025,K0025/Scope_2025_05_08_13_52_02/PosZ,sampling_rate,1000.0
K0025,K0025/Scope_2025_05_08_13_52_02/PosZ,segment_start,3.97
K0025,K0025/Scope_2025_05_08_13_52_02/PosZ,segment_stop,6.268
K0025,K0025/Scope_2025_05_08_13_52_02/PosZ,signal_source,numerical_control
K0025,K0025/Scope_2025_05_08_13_52_02/VelX,sampling_rate,1000.0
K0025,K0025/Scope_2025_05_08_13_52_02/VelX,segment_start,3.97
K0025,K0025/Scope_2025_05_08_13_52_02/VelX,segment_stop,6.268
K0025,K0025/Scope_2025_05_08_13_52_02/VelX,signal_source,numerical_control
K0025,K0025/Scope_2025_05_08_13_52_02/VelZ,sampling_rate,1000.0
K0025,K0025/Scope_2025_05_08_13_52_02/VelZ,segment_start,3.97
K0025,K0025/Scope_2025_05_08_13_52_02/VelZ,segment_stop,6.268
K0025,K0025/Scope_2025_05_08_13_52_02/VelZ,signal_source,numerical_control
K0025,K0025/Scope_2025_05_08_13_52_02/aX,sampling_rate,20000.0
K0025,K0025/Scope_2025_05_08_13_52_02/aX,segment_start,3.97
K0025,K0025/Scope_2025_05_08_13_52_02/aX,segment_stop,6.268
K0025,K0025/Scope_2025_05_08_13_52_02/aX,signal_source,numerical_control
K0025,K0025/Scope_2025_05_08_13_52_02/aY,sampling_rate,20000.0
K0025,K0025/Scope_2025_05_08_13_52_02/aY,segment_start,3.97
K0025,K0025/Scope_2025_05_08_13_52_02/aY,segment_stop,6.268
K0025,K0025/Scope_2025_05_08_13_52_02/aY,signal_source,numerical_control
K0025,K0025/Scope_2025_05_08_13_52_02/aZ,sampling_rate,20000.0
K0025,K0025/Scope_2025_05_08_13_52_02/aZ,segment_start,3.97
K0025,K0025/Scope_2025_05_08_13_52_02/aZ,segment_stop,6.268
K0025,K0025/Scope_2025_05_08_13_52_02/aZ,signal_source,numerical_control
K0025,K0025/Scope_2025_05_08_13_52_02/eX,sampling_rate,1000.0
K0025,K0025/Scope_2025_05_08_13_52_02/eX,segment_start,3.97
K0025,K0025/Scope_2025_05_08_13_52_02/eX,segment_stop,6.268
K0025,K0025/Scope_2025_05_08_13_52_02/eX,signal_source,numerical_control
K0025,K0025/Scope_2025_05_08_13_52_02/eZ,sampling_rate,1000.0
K0025,K0025/Scope_2025_05_08_13_52_02/eZ,segment_start,3.97
