Sample_ID,Experiment_Path,Surface_Roughness_Ra,Depth_of_Cut_ap,Feed_Rate_f,Cutting_Speed_vc,Material,Tool
0,0,1.203,0.5,0.125,125.0,0,0
0,1,1.545,0.5,0.175,125.0,0,0
0,2,2.389,0.5,0.225,125.0,0,0
0,3,3.339,0.5,0.275,125.0,0,0
0,4,0.888,0.5,0.125,175.0,0,0
0,5,1.553,0.5,0.175,175.0,0,0
0,6,2.172,0.5,0.225,175.0,0,0
0,7,3.281,0.5,0.275,175.0,0,0
0,8,0.673,0.5,0.125,225.0,0,0
0,9,1.349,0.5,0.175,225.0,0,0
0,10,2.123,0.5,0.225,225.0,0,0
0,11,3.228,0.5,0.275,225.0,0,0
0,12,0.667,0.5,0.125,275.0,0,0
0,13,1.299,0.5,0.175,275.0,0,0
0,14,2.142,0.5,0.225,275.0,0,0
0,15,3.284,0.5,0.275,275.0,0,0
0,16,0.578,1.0,0.1,100.0,0,0
0,17,1.049,1.0,0.15,100.0,0,0
0,18,1.831,1.0,0.2,100.0,0,0
0,19,2.724,1.0,0.25,100.0,0,0
0,20,3.908,1.0,0.3,100.0,0,0
0,21,0.457,1.0,0.1,200.0,0,0
0,22,1.051,1.0,0.15,200.0,0,0
0,23,1.817,1.0,0.2,200.0,0,0
0,24,2.759,1.0,0.25,200.0,0,0
0,25,3.875,1.0,0.3,200.0,0,0
0,26,0.443,1.0,0.1,300.0,0,0
0,27,1.0,1.0,0.15,300.0,0,0
0,28,1.798,1.0,0.2,300.0,0,0
0,29,2.719,1.0,0.25,300.0,0,0
0,30,3.872,1.0,0.3,300.0,0,0
0,31,1.398,0.75,0.1,100.0,0,0
0,32,1.093,0.75,0.15,100.0,0,0
0,33,1.731,0.75,0.2,100.0,0,0
0,34,2.664,0.75,0.25,100.0,0,0
0,35,3.854,0.75,0.3,100.0,0,0
0,36,0.403,0.75,0.1,200.0,0,0
0,37,0.961,0.75,0.15,200.0,0,0
0,38,1.744,0.75,0.2,200.0,0,0
0,39,2.649,0.75,0.25,200.0,0,0
0,40,3.793,0.75,0.3,200.0,0,0
0,41,0.406,0.75,0.1,300.0,0,0
0,42,0.966,0.75,0.15,300.0,0,0
0,43,1.751,0.75,0.2,300.0,0,0
0,44,2.656,0.75,0.25,300.0,0,0
0,45,3.784,0.75,0.3,300.0,0,0
0,46,0.99,1.0,0.15,200.0,0,0
0,47,0.989,0.5,0.15,200.0,0,0
0,48,0.982,0.25,0.15,200.0,0,0
0,49,1.0,1.25,0.15,200.0,0,0
0,50,0.993,1.5,0.15,200.0,0,0
0,51,2.572,0.5,0.1,100.0,0,0
0,52,2.445,0.5,0.15,100.0,0,0
0,53,2.331,0.5,0.2,100.0,0,0
0,54,2.693,0.5,0.25,100.0,0,0
0,55,3.889,0.5,0.3,100.0,0,0
0,56,1.237,0.5,0.1,150.0,0,0
0,57,1.102,0.5,0.15,150.0,0,0
0,58,1.928,0.5,0.2,150.0,0,0
0,59,2.804,0.5,0.25,150.0,0,0
0,60,3.855,0.5,0.3,150.0,0,0
0,61,0.483,0.5,0.1,200.0,0,0
0,62,1.079,0.5,0.15,200.0,0,0
0,63,1.857,0.5,0.2,200.0,0,0
0,64,2.825,0.5,0.25,200.0,0,0
0,65,3.83,0.5,0.3,200.0,0,0
0,66,0.529,0.5,0.1,250.0,0,0
0,67,1.088,0.5,0.15,250.0,0,0
0,68,1.837,0.5,0.2,250.0,0,0
0,69,2.77,0.5,0.25,250.0,0,0
0,70,3.856,0.5,0.3,250.0,0,0
0,71,0.585,0.5,0.1,300.0,0,0
0,72,1.118,0.5,0.15,300.0,0,0
0,73,1.838,0.5,0.2,300.0,0,0
0,74,2.79,0.5,0.25,300.0,0,0
0,75,3.842,0.5,0.3,300.0,0,0
0,76,2.536,0.5,0.1,100.0,0,0
0,77,2.245,0.5,0.15,100.0,0,0
0,78,2.249,0.5,0.2,100.0,0,0
0,79,2.872,0.5,0.25,100.0,0,0
0,80,3.763,0.5,0.3,100.0,0,0
0,81,1.136,0.5,0.1,150.0,0,0
0,82,1.135,0.5,0.15,150.0,0,0
0,83,1.837,0.5,0.2,150.0,0,0
0,84,2.784,0.5,0.25,150.0,0,0
0,85,3.863,0.5,0.3,150.0,0,0
0,86,0.603,0.5,0.1,200.0,0,0
0,87,1.133,0.5,0.15,200.0,0,0
0,88,1.842,0.5,0.2,200.0,0,0
0,89,2.791,0.5,0.25,200.0,0,0
0,90,3.854,0.5,0.3,200.0,0,0
0,91,0.604,0.5,0.1,250.0,0,0
0,92,1.136,0.5,0.15,250.0,0,0
0,93,1.866,0.5,0.2,250.0,0,0
0,94,2.756,0.5,0.25,250.0,0,0
0,95,3.829,0.5,0.3,250.0,0,0
0,96,0.581,0.5,0.1,300.0,0,0
0,97,1.121,0.5,0.15,300.0,0,0
0,98,1.848,0.5,0.2,300.0,0,0
0,99,2.743,0.5,0.25,300.0,0,0
0,100,3.831,0.5,0.3,300.0,0,0
0,101,2.872,0.5,0.1,100.0,0,0
0,102,2.329,0.5,0.15,100.0,0,0
0,103,1.721,0.5,0.2,100.0,0,0
0,104,2.817,0.5,0.25,100.0,0,0
0,105,3.904,0.5,0.3,100.0,0,0
0,106,0.731,0.5,0.1,150.0,0,0
0,107,1.103,0.5,0.15,150.0,0,0
0,108,1.845,0.5,0.2,150.0,0,0
0,109,2.769,0.5,0.25,150.0,0,0
0,110,3.888,0.5,0.3,150.0,0,0
0,111,0.554,0.5,0.1,200.0,0,0
0,112,1.073,0.5,0.15,200.0,0,0
0,113,1.738,0.5,0.2,200.0,0,0
0,114,2.738,0.5,0.25,200.0,0,0
0,115,3.754,0.5,0.3,200.0,0,0
0,116,0.595,0.5,0.1,250.0,0,0
0,117,1.088,0.5,0.15,250.0,0,0
0,118,1.744,0.5,0.2,250.0,0,0
0,119,2.725,0.5,0.25,250.0,0,0
0,120,3.774,0.5,0.3,250.0,0,0
0,121,0.542,0.5,0.1,300.0,0,0
0,122,1.083,0.5,0.15,300.0,0,0
0,123,1.732,0.5,0.2,300.0,0,0
0,124,2.676,0.5,0.25,300.0,0,0
0,125,3.768,0.5,0.3,300.0,0,0
0,126,2.105,0.62,0.22,210.0,0,0
0,127,1.746,0.9,0.2,180.0,0,0
0,128,0.604,0.89,0.1,170.0,0,0
0,129,3.137,0.89,0.27,150.0,0,0
0,130,1.387,0.54,0.17,150.0,0,0
0,131,2.558,0.59,0.24,180.0,0,0
0,132,2.507,0.84,0.24,200.0,0,0
0,133,2.126,0.56,0.15,100.0,0,0
0,134,0.959,0.9,0.15,280.0,0,0
0,135,2.979,0.6,0.26,140.0,0,0
0,136,2.303,1.0,0.23,190.0,0,0
0,137,2.32,0.58,0.14,100.0,0,0
0,138,2.671,0.89,0.245,295.0,0,0
0,139,0.715,0.55,0.11,190.0,0,0
0,140,1.931,0.75,0.21,140.0,0,0
0,141,0.654,0.78,0.11,170.0,0,0
0,142,2.482,0.87,0.24,250.0,0,0
0,143,0.643,0.7,0.12,260.0,0,0
0,144,0.85,0.99,0.14,190.0,0,0
0,145,0.95,0.75,0.15,240.0,0,0
0,146,0.93,0.9,0.15,260.0,0,0
0,147,1.708,0.52,0.17,120.0,0,0
0,148,0.951,0.89,0.11,120.0,0,0
0,149,2.18,0.99,0.22,110.0,0,0
0,150,1.456,0.58,0.18,210.0,0,0
1,151,0.288,0.5,0.1,300.0,2,0
1,152,0.775,0.5,0.15,300.0,2,0
1,153,1.475,0.5,0.2,300.0,2,0
1,154,2.143,0.5,0.25,300.0,2,0
1,155,3.553,0.5,0.3,300.0,2,0
1,156,0.385,0.5,0.1,100.0,2,0
1,157,0.809,0.5,0.15,100.0,2,0
1,158,1.564,0.5,0.2,100.0,2,0
1,159,2.456,0.5,0.25,100.0,2,0
1,160,3.592,0.5,0.3,100.0,2,0
1,161,0.386,0.5,0.1,150.0,2,0
1,162,0.846,0.5,0.15,150.0,2,0
1,163,1.482,0.5,0.2,150.0,2,0
1,164,2.321,0.5,0.25,150.0,2,0
1,165,3.514,0.5,0.3,150.0,2,0
1,166,0.387,0.5,0.1,200.0,2,0
1,167,0.748,0.5,0.15,200.0,2,0
1,168,1.445,0.5,0.2,200.0,2,0
1,169,2.379,0.5,0.25,200.0,2,0
1,170,3.476,0.5,0.3,200.0,2,0
1,171,0.4,0.5,0.1,250.0,2,0
1,172,0.784,0.5,0.15,250.0,2,0
1,173,1.433,0.5,0.2,250.0,2,0
1,174,2.368,0.5,0.25,250.0,2,0
1,175,3.472,0.5,0.3,250.0,2,0
1,176,0.397,0.5,0.1,300.0,2,0
1,177,0.872,0.5,0.15,300.0,2,0
1,178,1.305,0.5,0.2,300.0,2,0
1,179,2.379,0.5,0.25,300.0,2,0
1,180,3.422,0.5,0.3,300.0,2,0
1,181,0.577,0.5,0.1,100.0,2,0
1,182,0.896,0.5,0.15,100.0,2,0
1,183,1.541,0.5,0.2,100.0,2,0
1,184,2.424,0.5,0.25,100.0,2,0
1,185,3.504,0.5,0.3,100.0,2,0
1,186,0.529,0.5,0.1,150.0,2,0
1,187,0.949,0.5,0.15,150.0,2,0
1,188,1.512,0.5,0.2,150.0,2,0
1,189,2.387,0.5,0.25,150.0,2,0
1,190,3.524,0.5,0.3,150.0,2,0
1,191,0.386,0.5,0.1,200.0,2,0
1,192,0.917,0.5,0.15,200.0,2,0
1,193,1.593,0.5,0.2,200.0,2,0
1,194,2.465,0.5,0.25,200.0,2,0
1,195,3.282,0.5,0.3,200.0,2,0
1,196,0.411,0.5,0.1,250.0,2,0
1,197,0.923,0.5,0.15,250.0,2,0
1,198,1.538,0.5,0.2,250.0,2,0
1,199,2.262,0.5,0.25,250.0,2,0
1,200,3.398,0.5,0.3,250.0,2,0
1,201,0.42,0.5,0.1,300.0,2,0
1,202,0.802,0.5,0.15,300.0,2,0
1,203,1.496,0.5,0.2,300.0,2,0
1,204,2.253,0.5,0.25,300.0,2,0
1,205,3.354,0.5,0.3,300.0,2,0
1,206,0.682,0.5,0.125,125.0,2,0
1,207,1.088,0.5,0.175,125.0,2,0
1,208,1.719,0.5,0.225,125.0,2,0
1,209,2.765,0.5,0.275,125.0,2,0
1,210,0.675,0.5,0.125,175.0,2,0
1,211,1.107,0.5,0.175,175.0,2,0
1,212,1.734,0.5,0.225,175.0,2,0
1,213,2.739,0.5,0.275,175.0,2,0
1,214,0.684,0.5,0.125,225.0,2,0
1,215,1.158,0.5,0.175,225.0,2,0
1,216,1.778,0.5,0.225,225.0,2,0
1,217,2.715,0.5,0.275,225.0,2,0
1,218,0.632,0.5,0.125,275.0,2,0
1,219,0.966,0.5,0.175,275.0,2,0
1,220,1.758,0.5,0.225,275.0,2,0
1,221,2.728,0.5,0.275,275.0,2,0
1,222,0.445,0.5,0.1,100.0,2,0
1,223,0.857,0.5,0.15,100.0,2,0
1,224,1.391,0.5,0.2,100.0,2,0
1,225,2.352,0.5,0.25,100.0,2,0
1,226,3.555,0.5,0.3,100.0,2,0
1,227,0.491,0.5,0.1,150.0,2,0
1,228,0.892,0.5,0.15,150.0,2,0
1,229,1.434,0.5,0.2,150.0,2,0
1,230,2.317,0.5,0.25,150.0,2,0
1,231,3.572,0.5,0.3,150.0,2,0
1,232,0.549,0.5,0.1,200.0,2,0
1,233,0.841,0.5,0.15,200.0,2,0
1,234,1.375,0.5,0.2,200.0,2,0
1,235,2.289,0.5,0.25,200.0,2,0
1,236,3.626,0.5,0.3,200.0,2,0
1,237,0.406,0.5,0.1,250.0,2,0
1,238,0.81,0.5,0.15,250.0,2,0
1,239,1.383,0.5,0.2,250.0,2,0
1,240,2.281,0.5,0.25,250.0,2,0
