Depth_of_Cut,Feed_Rate,Cutting_Speed,Material,Tool,Predicted_Ra
0.2,0.05,100.0,20MnCr5,Tool1,1.3539
0.2,0.05,100.0,EN AW-6082,Tool1,1.2792
0.2,0.05,100.0,41Cr4,Tool1,1.2262
0.2,0.05,133.33,20MnCr5,Tool1,0.9609
0.2,0.05,133.33,EN AW-6082,Tool1,0.9339
0.2,0.05,133.33,41Cr4,Tool1,0.8306
0.2,0.05,166.67,20MnCr5,Tool1,0.8261
0.2,0.05,166.67,EN AW-6082,Tool1,0.8105
0.2,0.05,166.67,41Cr4,Tool1,0.7318
0.2,0.05,200.0,20MnCr5,Tool1,0.5984
0.2,0.05,200.0,EN AW-6082,Tool1,0.593
0.2,0.05,200.0,41Cr4,Tool1,0.5261
0.2,0.05,233.33,20MnCr5,Tool1,0.5923
0.2,0.05,233.33,EN AW-6082,Tool1,0.5869
0.2,0.05,233.33,41Cr4,Tool1,0.5192
0.2,0.05,266.67,20MnCr5,Tool1,0.5899
0.2,0.05,266.67,EN AW-6082,Tool1,0.5847
0.2,0.05,266.67,41Cr4,Tool1,0.519
0.2,0.05,300.0,20MnCr5,Tool1,0.5861
0.2,0.05,300.0,EN AW-6082,Tool1,0.5808
0.2,0.05,300.0,41Cr4,Tool1,0.511
0.2,0.05,333.33,20MnCr5,Tool1,0.5861
0.2,0.05,333.33,EN AW-6082,Tool1,0.5808
0.2,0.05,333.33,41Cr4,Tool1,0.511
0.2,0.05,366.67,20MnCr5,Tool1,0.5861
0.2,0.05,366.67,EN AW-6082,Tool1,0.5808
0.2,0.05,366.67,41Cr4,Tool1,0.511
0.2,0.05,400.0,20MnCr5,Tool1,0.5861
0.2,0.05,400.0,EN AW-6082,Tool1,0.5808
0.2,0.05,400.0,41Cr4,Tool1,0.511
0.2,0.1,100.0,20MnCr5,Tool1,1.3539
0.2,0.1,100.0,EN AW-6082,Tool1,1.2792
0.2,0.1,100.0,41Cr4,Tool1,1.2262
0.2,0.1,133.33,20MnCr5,Tool1,0.9609
0.2,0.1,133.33,EN AW-6082,Tool1,0.9339
0.2,0.1,133.33,41Cr4,Tool1,0.8306
0.2,0.1,166.67,20MnCr5,Tool1,0.8261
0.2,0.1,166.67,EN AW-6082,Tool1,0.8105
0.2,0.1,166.67,41Cr4,Tool1,0.7318
0.2,0.1,200.0,20MnCr5,Tool1,0.5984
0.2,0.1,200.0,EN AW-6082,Tool1,0.593
0.2,0.1,200.0,41Cr4,Tool1,0.5261
0.2,0.1,233.33,20MnCr5,Tool1,0.5923
0.2,0.1,233.33,EN AW-6082,Tool1,0.5869
0.2,0.1,233.33,41Cr4,Tool1,0.5192
0.2,0.1,266.67,20MnCr5,Tool1,0.5899
0.2,0.1,266.67,EN AW-6082,Tool1,0.5847
0.2,0.1,266.67,41Cr4,Tool1,0.519
0.2,0.1,300.0,20MnCr5,Tool1,0.5861
0.2,0.1,300.0,EN AW-6082,Tool1,0.5808
0.2,0.1,300.0,41Cr4,Tool1,0.511
0.2,0.1,333.33,20MnCr5,Tool1,0.5861
0.2,0.1,333.33,EN AW-6082,Tool1,0.5808
0.2,0.1,333.33,41Cr4,Tool1,0.511
0.2,0.1,366.67,20MnCr5,Tool1,0.5861
0.2,0.1,366.67,EN AW-6082,Tool1,0.5808
0.2,0.1,366.67,41Cr4,Tool1,0.511
0.2,0.1,400.0,20MnCr5,Tool1,0.5861
0.2,0.1,400.0,EN AW-6082,Tool1,0.5808
0.2,0.1,400.0,41Cr4,Tool1,0.511
0.2,0.15,100.0,20MnCr5,Tool1,1.7092
0.2,0.15,100.0,EN AW-6082,Tool1,1.4874
0.2,0.15,100.0,41Cr4,Tool1,1.18
0.2,0.15,133.33,20MnCr5,Tool1,1.0767
0.2,0.15,133.33,EN AW-6082,Tool1,1.0774
0.2,0.15,133.33,41Cr4,Tool1,0.9273
0.2,0.15,166.67,20MnCr5,Tool1,1.0319
0.2,0.15,166.67,EN AW-6082,Tool1,1.0333
0.2,0.15,166.67,41Cr4,Tool1,0.8773
0.2,0.15,200.0,20MnCr5,Tool1,1.0084
0.2,0.15,200.0,EN AW-6082,Tool1,1.0101
0.2,0.15,200.0,41Cr4,Tool1,0.8207
0.2,0.15,233.33,20MnCr5,Tool1,1.0105
0.2,0.15,233.33,EN AW-6082,Tool1,1.0114
0.2,0.15,233.33,41Cr4,Tool1,0.8186
0.2,0.15,266.67,20MnCr5,Tool1,1.0115
0.2,0.15,266.67,EN AW-6082,Tool1,1.0123
0.2,0.15,266.67,41Cr4,Tool1,0.7955
0.2,0.15,300.0,20MnCr5,Tool1,1.012
0.2,0.15,300.0,EN AW-6082,Tool1,1.0137
0.2,0.15,300.0,41Cr4,Tool1,0.8144
0.2,0.15,333.33,20MnCr5,Tool1,1.012
0.2,0.15,333.33,EN AW-6082,Tool1,1.0137
0.2,0.15,333.33,41Cr4,Tool1,0.8144
0.2,0.15,366.67,20MnCr5,Tool1,1.012
0.2,0.15,366.67,EN AW-6082,Tool1,1.0137
0.2,0.15,366.67,41Cr4,Tool1,0.8144
0.2,0.15,400.0,20MnCr5,Tool1,1.012
0.2,0.15,400.0,EN AW-6082,Tool1,1.0137
0.2,0.15,400.0,41Cr4,Tool1,0.8144
0.2,0.2,100.0,20MnCr5,Tool1,2.0377
0.2,0.2,100.0,EN AW-6082,Tool1,2.0225
0.2,0.2,100.0,41Cr4,Tool1,1.5371
0.2,0.2,133.33,20MnCr5,Tool1,1.9108
